Descrição,Métrica,XGBoosting,Random Forest,Linear Regression
Teste Intervalos 14 79,RRSE,0.7166610030275289,0.7736155622474126,1.2727849563409708
Teste Intervalos 14 79,MAPE,0.10529864611468141,0.11071846818791335,0.19719688252902018
Teste Intervalos 14 79,Tempo,0:00:00.544000,0:00:01.364783,0:00:00.002000
Teste Intervalos 28 65,RRSE,0.7159259107402758,0.7118386589875645,1.0153326764110657
Teste Intervalos 28 65,MAPE,0.1046645415255209,0.10490530275251957,0.15684997509079726
Teste Intervalos 28 65,Tempo,0:00:00.783999,0:00:01.627002,0:00:00.002000
Teste Intervalos 42 51,RRSE,0.6872162753480703,0.7202778960253657,0.9538265791769179
Teste Intervalos 42 51,MAPE,0.10723566946853808,0.1118918512531092,0.16023841264357405
Teste Intervalos 42 51,Tempo,0:00:01.029970,0:00:02.088001,0:00:00.003001
Teste Intervalos 56 37,RRSE,0.7009571590014818,0.7155232453291248,0.9405240043558817
Teste Intervalos 56 37,MAPE,0.10172020272530978,0.10410490591100416,0.15473191799707922
Teste Intervalos 56 37,Tempo,0:00:01.398970,0:00:02.513030,0:00:00.002001
Teste Intervalos 70 23,RRSE,0.7679958462945483,0.7364519186183043,0.9329283316981615
Teste Intervalos 70 23,MAPE,0.12691942769232797,0.11840900090532891,0.154446721374037
Teste Intervalos 70 23,Tempo,0:00:01.489996,0:00:02.971030,0:00:00.002970
