Descrição,Métrica,XGBoosting,Random Forest,Linear Regression
Teste Tempos 1,RRSE,0.7026246885613601,0.7088708780141149,0.8001398436184974
Teste Tempos 1,MAPE,0.1045885023752492,0.1058311413096617,0.12699859239938566
Teste Tempos 1,Tempo,0:00:01.440001,0:00:03.416001,0:00:00.001999
Teste Tempos 2,RRSE,0.6898073285857785,0.6912950170846178,0.7435445044861322
Teste Tempos 2,MAPE,0.10322757733328276,0.10371494415364019,0.11667826106146552
Teste Tempos 2,Tempo,0:00:01.436000,0:00:03.817999,0:00:00.002004
Teste Tempos 3,RRSE,0.686384161647108,0.6873465340650164,0.7246262889805879
Teste Tempos 3,MAPE,0.10282063541194504,0.10322900924766831,0.11327648841837469
Teste Tempos 3,Tempo,0:00:01.561999,0:00:04.130001,0:00:00.003000
Teste Tempos 4,RRSE,0.6852118003972154,0.678742310232457,0.7137906018113371
Teste Tempos 4,MAPE,0.10340022079603395,0.1031281618654527,0.11151448880981216
Teste Tempos 4,Tempo,0:00:01.519000,0:00:05.798001,0:00:00.003000
