Descrição,Métrica,XGBoosting,Random Forest,Linear Regression
Primeira execução,RRSE,0.6929011501881002,0.7212360856671788,0.9394448227378863
Primeira execução,MAPE,0.10364107666716442,0.10885860322654456,0.15358537448478704
Primeira execução,Tempo,0:00:01.427022,0:00:02.708563,0:00:00.002999
Teste Clima,RRSE,0.6943001942678831,0.7223512770945898,0.9160853504082752
Teste Clima,MAPE,0.1031040485254041,0.10922532265664034,0.1519430606843786
Teste Clima,Tempo,0:00:01.420000,0:00:02.321000,0:00:00.003000
Teste Tempos 1,RRSE,0.7026246885613601,0.7088708780141149,0.8001398436184974
Teste Tempos 1,MAPE,0.1045885023752492,0.1058311413096617,0.12699859239938566
Teste Tempos 1,Tempo,0:00:01.440001,0:00:03.416001,0:00:00.001999
Teste Tempos 2,RRSE,0.6898073285857785,0.6912950170846178,0.7435445044861322
Teste Tempos 2,MAPE,0.10322757733328276,0.10371494415364019,0.11667826106146552
Teste Tempos 2,Tempo,0:00:01.436000,0:00:03.817999,0:00:00.002004
Teste Tempos 3,RRSE,0.686384161647108,0.6873465340650164,0.7246262889805879
Teste Tempos 3,MAPE,0.10282063541194504,0.10322900924766831,0.11327648841837469
Teste Tempos 3,Tempo,0:00:01.561999,0:00:04.130001,0:00:00.003000
Teste Tempos 4,RRSE,0.6852118003972154,0.678742310232457,0.7137906018113371
Teste Tempos 4,MAPE,0.10340022079603395,0.1031281618654527,0.11151448880981216
Teste Tempos 4,Tempo,0:00:01.519000,0:00:05.798001,0:00:00.003000
Teste Intervalos 14 79,RRSE,0.7166610030275289,0.7736155622474126,1.2727849563409708
Teste Intervalos 14 79,MAPE,0.10529864611468141,0.11071846818791335,0.19719688252902018
Teste Intervalos 14 79,Tempo,0:00:00.544000,0:00:01.364783,0:00:00.002000
Teste Intervalos 28 65,RRSE,0.7159259107402758,0.7118386589875645,1.0153326764110657
Teste Intervalos 28 65,MAPE,0.1046645415255209,0.10490530275251957,0.15684997509079726
Teste Intervalos 28 65,Tempo,0:00:00.783999,0:00:01.627002,0:00:00.002000
Teste Intervalos 42 51,RRSE,0.6872162753480703,0.7202778960253657,0.9538265791769179
Teste Intervalos 42 51,MAPE,0.10723566946853808,0.1118918512531092,0.16023841264357405
Teste Intervalos 42 51,Tempo,0:00:01.029970,0:00:02.088001,0:00:00.003001
Teste Intervalos 56 37,RRSE,0.7009571590014818,0.7155232453291248,0.9405240043558817
Teste Intervalos 56 37,MAPE,0.10172020272530978,0.10410490591100416,0.15473191799707922
Teste Intervalos 56 37,Tempo,0:00:01.398970,0:00:02.513030,0:00:00.002001
Teste Intervalos 70 23,RRSE,0.7679958462945483,0.7364519186183043,0.9329283316981615
Teste Intervalos 70 23,MAPE,0.12691942769232797,0.11840900090532891,0.154446721374037
Teste Intervalos 70 23,Tempo,0:00:01.489996,0:00:02.971030,0:00:00.002970
