Descrição,Métrica,XGBoosting,Random Forest,Linear Regression
Primeira execução,RRSE,0.6929011501881002,0.7204141797870189,0.9394448227378863
Primeira execução,MAPE,0.10364107666716442,0.10903472317126664,0.15358537448478704
Primeira execução,Tempo,1.435996,2.709741,0.301
Teste Clima,RRSE,0.6943001942678831,0.7220175292839882,0.9160853504082752
Teste Clima,MAPE,0.1031040485254041,0.1095566817286151,0.1519430606843786
Teste Clima,Tempo,1.398999,2.320031,0.3
Teste Tempos 1,RRSE,0.7026246885613601,0.7123713002697334,0.8001398436184974
Teste Tempos 1,MAPE,0.1045885023752492,0.10632820855439917,0.12699859239938566
Teste Tempos 1,Tempo,1.394995,3.405001,0.2
Teste Tempos 2,RRSE,0.6898073285857785,0.6938517072089723,0.7435445044861322
Teste Tempos 2,MAPE,0.10322757733328276,0.1038135301751114,0.11667826106146552
Teste Tempos 2,Tempo,1.390968,3.796001,0.3001
Teste Tempos 3,RRSE,0.686384161647108,0.6864531405564324,0.7246262889805879
Teste Tempos 3,MAPE,0.10282063541194504,0.10325875521919269,0.11327648841837469
Teste Tempos 3,Tempo,1.387,4.40068,0.3
Teste Tempos 4,RRSE,0.6852118003972154,0.6801184510085118,0.7137906018113371
Teste Tempos 4,MAPE,0.10340022079603395,0.10323739138732824,0.11151448880981216
Teste Tempos 4,Tempo,1.417997,5.686031,0.2971
