tempo_viagem,dia_semana,partidaTimeStamp,tipo_dia,turno_dia,hora_dia,predicao_xgb,predicao_lr,predicao_rf
680,2,1569901228,1,1,0,831.876,978.7082717748472,837.0775816508293
849,2,1569899787,1,1,0,831.876,978.7039180573238,837.0775816508293
852,2,1569898845,1,1,0,831.876,978.7010719768878,837.0775816508293
824,1,1569898009,1,4,23,1042.1201,1373.6198772477846,1128.8752435807946
993,1,1569897014,1,4,23,1042.1201,1373.6168710375578,1128.8752435807946
1573,1,1569895674,1,4,23,1042.1201,1373.6128224730319,1128.8752435807946
930,1,1569895276,1,4,23,1042.1201,1373.6116199889411,1128.8752435807946
1063,1,1569894358,1,4,22,1071.2651,1356.9656450102975,1210.9233599436661
932,1,1569893423,1,4,22,1071.2651,1356.9628200790803,1210.9233599436661
950,1,1569892805,1,4,22,1071.2651,1356.9609529052914,1210.9233599436661
1055,1,1569891992,1,4,22,1071.2651,1356.9584965747244,1210.9233599436661
1428,1,1569891037,1,4,21,1094.6715,1340.3124098073586,1217.7895193822499
986,1,1569890734,1,4,21,1094.6715,1340.3114943483642,1217.7895193822499
1086,1,1569889926,1,4,21,1094.6715,1340.3090531243815,1217.7895193822499
1287,1,1569889271,1,4,21,1094.6715,1340.3070741618712,1217.7895193822499
956,1,1569888622,1,4,21,1094.6715,1340.305113327261,1217.7895193822499
1262,1,1569887982,1,4,20,1156.7129,1323.6599782746907,1117.9497606084528
990,1,1569887434,1,4,20,1156.7129,1323.658322593078,1117.9497606084528
1734,1,1569886364,1,4,20,1156.7129,1323.6550897840907,1117.9497606084528
1131,1,1569886044,1,4,20,1156.7129,1323.6541229627119,1117.9497606084528
1127,1,1569885024,1,4,20,1156.7129,1323.6510412195648,1117.9497606084528
1319,1,1569884607,1,4,20,1156.7129,1323.649781330455,1117.9497606084528
1402,1,1569884136,1,4,19,1373.1969,1307.0051568804256,1310.065592901228
1508,1,1569883436,1,4,19,1373.1969,1307.0030419586583,1310.065592901228
1388,1,1569883323,1,4,19,1373.1969,1307.0027005498587,1310.065592901228
1503,1,1569882720,1,4,19,1373.1969,1307.0008786958215,1310.065592901228
1451,1,1569882103,1,4,19,1373.1969,1306.9990145433494,1310.065592901228
1593,1,1569881546,1,4,19,1373.1969,1306.997331669886,1310.065592901228
1359,1,1569880872,1,4,19,1373.1969,1306.9952953023558,1310.065592901228
1778,1,1569879962,1,4,18,1415.5973,1290.349344494247,1340.7119369771701
1288,1,1569879839,1,4,18,1415.5973,1290.3489728722789,1340.7119369771701
1601,1,1569879252,1,4,18,1415.5973,1290.3471993593112,1340.7119369771701
1324,1,1569878769,1,4,18,1415.5973,1290.3457400632915,1340.7119369771701
1504,1,1569878540,1,4,18,1415.5973,1290.3450481817417,1340.7119369771701
1379,1,1569877942,1,4,18,1415.5973,1290.3432414342897,1340.7119369771701
1465,1,1569877421,1,4,18,1415.5973,1290.3416673282309,1340.7119369771701
1814,1,1569876799,1,3,17,1415.5973,1273.6965866593628,1341.3792968331386
1562,1,1569876596,1,3,17,1415.5973,1273.695973332051,1341.3792968331386
1538,1,1569875979,1,3,17,1415.5973,1273.6941091795788,1341.3792968331386
1521,1,1569875049,1,3,17,1415.5973,1273.691299354945,1341.3792968331386
1369,1,1569874448,1,3,17,1415.5973,1273.6894835435414,1341.3792968331386
1718,1,1569874141,1,3,17,1415.5973,1273.6885559992807,1341.3792968331386
1692,1,1569873720,1,3,17,1415.5973,1273.6872840249034,1341.3792968331386
1617,1,1569872895,1,3,16,1379.3446,1257.0415900287235,1304.9183622498592
1628,1,1569872311,1,3,16,1379.3446,1257.0398255797063,1304.9183622498592
1682,1,1569871722,1,3,16,1379.3446,1257.038046024105,1304.9183622498592
1218,1,1569871103,1,3,16,1379.3446,1257.0361758289991,1304.9183622498592
1564,1,1569870150,1,3,16,1379.3446,1257.0332965140788,1304.9183622498592
1483,1,1569869857,1,3,15,1307.8181,1240.389209858441,1264.3639656705093
1593,1,1569869305,1,3,15,1307.8181,1240.387542091562,1264.3639656705093
1386,1,1569869123,1,3,15,1307.8181,1240.386992211902,1264.3639656705093
1311,1,1569868499,1,3,15,1307.8181,1240.385106910212,1264.3639656705093
1213,1,1569868197,1,3,15,1307.8181,1240.3841944725355,1264.3639656705093
1515,1,1569866959,1,3,15,1307.8181,1240.380454082324,1264.3639656705093
1686,1,1569865330,1,3,14,1250.8888,1223.7323309474277,1238.7610434925045
1098,1,1569864972,1,3,14,1250.8888,1223.7312493160098,1238.7610434925045
1207,1,1569864581,1,3,14,1250.8888,1223.730067981137,1238.7610434925045
1425,1,1569864094,1,3,14,1250.8888,1223.7285965998508,1238.7610434925045
1374,1,1569863589,1,3,14,1250.8888,1223.7270708348615,1238.7610434925045
1024,1,1569863132,1,3,14,1250.8888,1223.7256900930788,1238.7610434925045
1199,1,1569862251,1,3,13,1236.9812,1207.0798269031566,1251.502062925871
1459,1,1569861815,1,3,13,1236.9812,1207.0785096090276,1251.502062925871
1196,1,1569861138,1,3,13,1236.9812,1207.0764641775468,1251.502062925871
1401,1,1569860883,1,3,13,1236.9812,1207.07569374176,1251.502062925871
1156,1,1569860329,1,3,13,1236.9812,1207.0740199322472,1251.502062925871
1242,1,1569859693,1,3,13,1236.9812,1207.072098374756,1251.502062925871
1211,1,1569859419,1,3,13,1236.9812,1207.0712705339492,1251.502062925871
1457,1,1569858823,1,3,12,1236.9812,1190.426268419319,1247.4408208788545
1372,1,1569857569,1,3,12,1236.9812,1190.422479688038,1247.4408208788545
1154,1,1569857289,1,3,12,1236.9812,1190.421633719331,1247.4408208788545
1142,1,1569856966,1,3,12,1236.9812,1190.4206578340018,1247.4408208788545
1188,1,1569855878,1,3,12,1236.9812,1190.4173706413121,1247.4408208788545
1237,1,1569855443,1,2,11,1214.1078,1173.7728549586873,1236.4378829137486
1394,1,1569854954,1,2,11,1214.1078,1173.7713775347675,1236.4378829137486
1221,1,1569854021,1,2,11,1214.1078,1173.768558646183,1236.4378829137486
1100,1,1569853518,1,2,11,1214.1078,1173.7670389238274,1236.4378829137486
1257,1,1569853001,1,2,11,1214.1078,1173.765476903036,1236.4378829137486
1414,1,1569852471,1,2,11,1214.1078,1173.7638756051265,1236.4378829137486
1244,1,1569852160,1,2,11,1214.1078,1173.7629359755983,1236.4378829137486
1114,1,1569851596,1,2,10,1136.5162,1157.1180305431053,1188.7037631090634
1089,1,1569850765,1,2,10,1136.5162,1157.115519828836,1188.7037631090634
998,1,1569850554,1,2,10,1136.5162,1157.1148823309886,1188.7037631090634
1216,1,1569849635,1,2,10,1136.5162,1157.11210574084,1188.7037631090634
1252,1,1569848835,1,2,10,1136.5162,1157.109688687392,1188.7037631090634
1083,1,1569847998,1,2,9,1074.6869,1140.46395843541,1101.7520221039338
929,1,1569846909,1,2,9,1074.6869,1140.4606682214026,1101.7520221039338
1079,1,1569846706,1,2,9,1074.6869,1140.4600548940907,1101.7520221039338
