tempo_viagem,dia_semana,partidaTimeStamp,tipo_dia,turno_dia,hora_dia,Descricao Chuva,Calor,predicao_xgb_clima,predicao_lr_clima,predicao_rf_clima
680,2,1569901228,1,1,0,0,1,841.11633,1026.636094326678,885.1079566050742
849,2,1569899787,1,1,0,0,1,841.11633,1026.6339152071857,885.1079566050742
852,2,1569898845,1,1,0,0,1,841.11633,1026.6324906891002,885.1079566050742
824,1,1569898009,1,4,23,0,1,1021.69055,1371.4915666602508,1075.692142974029
993,1,1569897014,1,4,23,0,1,1021.69055,1371.4900619941197,1075.692142974029
1573,1,1569895674,1,4,23,0,1,1021.69055,1371.488035609582,1075.692142974029
930,1,1569895276,1,4,23,0,1,1021.69055,1371.4874337431295,1075.692142974029
1063,1,1569894358,1,4,22,0,1,1050.749,1357.0476642181254,1098.1998129533872
932,1,1569893423,1,4,22,0,1,1050.749,1357.0462502856305,1098.1998129533872
950,1,1569892805,1,4,22,0,1,1050.749,1357.0453157291793,1098.1998129533872
1055,1,1569891992,1,4,22,0,1,1050.749,1357.0440862884113,1098.1998129533872
1428,1,1569891037,1,4,21,0,1,1070.3533,1342.604260810998,1136.423788070088
986,1,1569890734,1,4,21,0,1,1070.3533,1342.6038026061362,1136.423788070088
1086,1,1569889926,1,4,21,0,1,1070.3533,1342.6025807265044,1136.423788070088
1287,1,1569889271,1,4,21,0,1,1070.3533,1342.6015902176443,1136.423788070088
956,1,1569888622,1,4,21,0,1,1070.3533,1342.6006087821481,1136.423788070088
1262,1,1569887982,1,4,20,0,1,1143.507,1328.1612596563243,1158.45738317403
990,1,1569887434,1,4,20,0,1,1143.507,1328.1604309557817,1158.45738317403
1734,1,1569886364,1,4,20,0,1,1143.507,1328.158812872606,1158.45738317403
1131,1,1569886044,1,4,20,0,1,1143.507,1328.1583289598805,1158.45738317403
1127,1,1569885024,1,4,20,0,1,1143.507,1328.1567864880678,1158.45738317403
1319,1,1569884607,1,4,20,0,1,1143.507,1328.1561558892975,1158.45738317403
1402,1,1569884136,1,4,19,0,1,1360.7052,1313.7170623298823,1345.5999886821194
1508,1,1569883436,1,4,19,0,1,1360.7052,1313.7160037707952,1345.5999886821194
1388,1,1569883323,1,4,19,0,1,1360.7052,1313.7158328891135,1345.5999886821194
1503,1,1569882720,1,4,19,0,1,1360.7052,1313.7149210160721,1345.5999886821194
1451,1,1569882103,1,4,19,0,1,1360.7052,1313.7139879718477,1345.5999886821194
1593,1,1569881546,1,4,19,0,1,1360.7052,1313.7131456612603,1345.5999886821194
1359,1,1569880872,1,4,19,0,1,1360.7052,1313.712126420082,1345.5999886821194
1778,1,1569879962,1,4,18,0,1,1405.3335,1299.2723689928964,1360.8965136708357
1288,1,1569879839,1,4,18,0,1,1405.3335,1299.2721829889422,1360.8965136708357
1601,1,1569879252,1,4,18,0,1,1405.3335,1299.2712953115367,1360.8965136708357
1324,1,1569878769,1,4,18,0,1,1405.3335,1299.2705649057664,1360.8965136708357
1504,1,1569878540,1,4,18,0,1,1405.3335,1299.2702186057224,1360.8965136708357
1379,1,1569877942,1,4,18,0,1,1405.3335,1299.2693142938167,1360.8965136708357
1465,1,1569877421,1,4,18,0,1,1405.3335,1299.2685264234103,1360.8965136708357
1814,1,1569876799,1,3,17,0,1,1405.3335,1284.8292045176775,1361.8897537427526
1562,1,1569876596,1,3,17,0,1,1405.3335,1284.828897535542,1361.8897537427526
1538,1,1569875979,1,3,17,0,1,1405.3335,1284.8279644913184,1361.8897537427526
1521,1,1569875049,1,3,17,0,1,1405.3335,1284.8265581199596,1361.8897537427526
1369,1,1569874448,1,3,17,0,1,1405.3335,1284.825649271372,1361.8897537427526
1718,1,1569874141,1,3,17,0,1,1405.3335,1284.825185017601,1361.8897537427526
1692,1,1569873720,1,3,17,0,1,1405.3335,1284.8245483699218,1361.8897537427526
1617,1,1569872895,1,3,16,0,1,1366.258,1270.3849194820534,1327.1647926167038
1628,1,1569872311,1,3,16,0,1,1366.258,1270.3840363413294,1327.1647926167038
1682,1,1569871722,1,3,16,0,2,1366.258,1360.6196258104376,1329.3301737053966
1218,1,1569871103,1,3,16,0,2,1366.258,1360.6186897417595,1329.3301737053966
1564,1,1569870150,1,3,16,0,2,1366.258,1360.6172485891736,1329.3301737053966
1483,1,1569869857,1,3,15,0,2,1306.1976,1346.1784242062115,1301.7738384508957
1593,1,1569869305,1,3,15,0,2,1306.1976,1346.1775894567602,1301.7738384508957
1386,1,1569869123,1,3,15,0,2,1306.1976,1346.1773142313975,1301.7738384508957
1311,1,1569868499,1,3,15,0,2,1306.1976,1346.176370601583,1301.7738384508957
1213,1,1569868197,1,3,15,0,2,1306.1976,1346.175913908948,1301.7738384508957
1515,1,1569866959,1,3,15,0,2,1306.1976,1346.1740417715912,1301.7738384508957
1686,1,1569865330,1,3,14,0,2,1248.9424,1331.7331970530001,1268.0885130944328
