tempo_viagem,dia_semana,partidaTimeStamp,tipo_dia,turno_dia,hora_dia,data_partida2,predicao_xgb 14 79,predicao_rf 14 79,predicao_lr 14 79,predicao_xgb 28 65,predicao_rf 28 65,predicao_lr 28 65,predicao_xgb 42 51,predicao_rf 42 51,predicao_lr 42 51,predicao_xgb 56 37,predicao_rf 56 37,predicao_lr 56 37,predicao_xgb 70 23,predicao_lr 70 23,predicao_rf 70 23
722,2,1568084740,1,1,0,2019-09-10 00:05:40,861.5362,889.263890969553,695.3435524576344,865.9929,932.9464264943433,856.5653885755128,843.98517,856.2181610888222,1004.378034920519,842.73254,859.6930137920519,981.4780626357751,1069.5338,985.1567968092695,950.637700754267
839,2,1568085363,1,1,0,2019-09-10 00:16:03,861.5362,889.263890969553,695.3169018753833,865.9929,932.9464264943433,856.5555642908512,843.98517,856.2181610888222,1004.3860196640671,842.73254,859.6930137920519,981.4817957034793,1069.5338,985.1600058136792,950.637700754267
746,2,1568086823,1,1,0,2019-09-10 00:40:23,861.5362,889.263890969553,695.254446257255,865.9929,932.9464264943433,856.5325410876285,843.98517,856.2181610888222,1004.4047319041638,842.73254,859.6930137920519,981.4905441446481,1069.5338,985.1675261129376,950.637700754267
783,2,1568100292,1,1,4,2019-09-10 04:24:52,810.2577,834.1538739649565,767.1639202720398,805.9319,859.0659997549105,925.8917138253346,821.0522,847.0522351070241,1075.2806322631986,816.3229,810.9858285881518,1049.6803808858313,1042.1276,1050.57206790276,908.3108362394723
780,2,1568102416,1,2,5,2019-09-10 05:00:16,819.3227,857.4127839914757,785.1944723012275,846.77435,903.6554953765616,943.2511122134638,866.64374,933.9121309324483,1092.9836731115174,866.8053,933.5631517834685,1066.7203904139478,1092.4015,1066.9167995063426,963.9944246387562
881,2,1568103006,1,2,5,2019-09-10 05:10:06,819.3227,857.4127839914757,785.1692333870596,846.77435,903.6554953765616,943.2418083162702,866.64374,933.9121309324483,1092.9912349071747,866.8053,933.5631517834685,1066.7239257429137,1092.4015,1066.9198385313857,963.9944246387562
824,2,1568103374,1,2,5,2019-09-10 05:16:14,819.3227,857.4127839914757,785.1534911490598,846.77435,903.6554953765616,943.2360052075128,866.64374,933.9121309324483,1092.9959514170077,866.8053,933.5631517834685,1066.7261308294546,1092.4015,1066.9217340588702,963.9944246387562
613,2,1568103999,1,2,5,2019-09-10 05:26:39,819.3227,857.4127839914757,785.1267550111661,846.77435,903.6554953765616,943.2261493842161,866.64374,933.9121309324483,1093.0039617937618,866.8053,933.5631517834685,1066.729875881325,1092.4015,1066.924953365059,963.9944246387562
883,2,1568104634,1,2,5,2019-09-10 05:37:14,819.3227,857.4127839914757,785.0995910950587,846.77435,903.6554953765616,943.2161358677477,866.64374,933.9121309324483,1093.012100336542,866.8053,933.5631517834685,1066.733680854024,1092.4015,1066.9282241801484,963.9944246387562
993,2,1568105069,1,2,5,2019-09-10 05:44:29,819.3227,857.4127839914757,785.080982743093,846.77435,903.6554953765616,943.2092762147331,866.64374,933.9121309324483,1093.0176755587636,866.8053,933.5631517834685,1066.7362874101254,1092.4015,1066.9304648172556,963.9944246387562
952,2,1568106111,1,2,6,2019-09-10 06:01:51,907.4978,965.7161244992254,803.1578203742247,926.7682,1002.7354462442065,960.5857370041485,961.53406,988.4804272130698,1110.706848842845,971.07385,1053.1613089223001,1083.7698135044466,1229.5424,1083.269623157964,1268.9919620479818
1002,2,1568107740,1,2,6,2019-09-10 06:29:00,907.4978,965.7161244992254,803.0881353044097,926.7682,1002.7354462442065,960.5600487863085,961.53406,988.4804272130698,1110.7277270888153,971.07385,1053.1613089223001,1083.779574607639,1229.5424,1083.2780139576162,1268.9919620479818
1194,2,1568108394,1,2,6,2019-09-10 06:39:54,907.4978,965.7161244992254,803.0601586097182,926.7682,1002.7354462442065,960.5497356528103,961.53406,988.4804272130698,1110.736109147052,971.07385,1053.1613089223001,1083.7834934299153,1229.5424,1083.2813826396132,1268.9919620479818
1180,2,1568109044,1,2,6,2019-09-10 06:50:44,907.4978,965.7161244992254,803.0323530262976,926.7682,1002.7354462442065,960.5394855965824,961.53406,988.4804272130698,1110.7444399388733,971.07385,1053.1613089223001,1083.7873882838612,1229.5424,1083.28473071805,1268.9919620479818
