tempo_viagem,dia_semana,partidaTimeStamp,tipo_dia,turno_dia,hora_dia,tempo_viagem_1,tempo_viagem_2,tempo_viagem_3,tempo_viagem_4,predicao_xgb_1,predicao_lr_1,predicao_rf_1,predicao_xgb_2,predicao_lr_2,predicao_rf_2,predicao_xgb_3,predicao_lr_3,predicao_rf_3,predicao_xgb_4,predicao_lr_4,predicao_rf_4
1055,1,1569891992,1,4,22,950.0,932.0,1063.0,930.0,1066.2057,1141.1150509092977,1081.459194967912,1033.4553,1083.7813000163171,1034.0125113988179,1047.3062,1094.9090111064672,1029.848724464336,1047.9202,1080.839335349412,1028.0179276289064
1428,1,1569891037,1,4,21,1055.0,950.0,932.0,1063.0,1105.8563,1190.3981891787885,1135.8128448458126,1037.7205,1120.0081615627266,1068.2194414576236,1027.2926,1089.6111860403296,1042.043906876587,1057.3151,1102.5366696317592,1065.5898495848276
986,1,1569890734,1,4,21,1428.0,1055.0,950.0,932.0,1149.5791,1394.9318178301864,1169.312273780706,1097.4883,1286.584727813484,1144.4661860744595,1093.3816,1218.8507730578333,1108.8290097493375,1089.9971,1181.5117923821022,1100.8743275036993
1086,1,1569889926,1,4,21,986.0,1428.0,1055.0,950.0,1098.9537,1152.5605443872255,1131.706525015121,1090.694,1259.2910675808055,1189.8345146916304,1088.928,1219.9268580082414,1135.3394259683362,1106.0741,1181.5589207059925,1095.3196376570709
1287,1,1569889271,1,4,21,1086.0,986.0,1428.0,1055.0,1105.8563,1207.3944786869288,1137.0262297294198,1060.0244,1143.1769761233293,1081.3979214046392,1147.6532,1224.469189554318,1177.0157067917432,1159.9327,1203.1694018643552,1195.2288759509397
956,1,1569888622,1,4,21,1287.0,1086.0,986.0,1428.0,1142.4037,1317.6116391356754,1152.6759155462246,1086.4095,1247.7875238094573,1126.287868714317,1073.6638,1197.8070471613535,1097.097050234071,1127.7186,1259.5100948241939,1118.7633045820203
1262,1,1569887982,1,4,20,956.0,1287.0,1086.0,986.0,1163.5135,1127.8151984699257,1115.9367283922754,1150.5856,1193.8515819337288,1160.3513508003157,1146.8019,1177.60204681134,1160.9308067366958,1131.9318,1153.0323676370836,1124.2321389778715
990,1,1569887434,1,4,20,1262.0,956.0,1287.0,1086.0,1207.1106,1295.6091153762163,1159.1005270039386,1171.3179,1187.8619754937242,1194.6130579235464,1207.819,1223.6032270309572,1222.8243750783045,1203.1765,1209.2550323749906,1223.8655108508706
1734,1,1569886364,1,4,20,990.0,1262.0,956.0,1287.0,1171.5618,1146.4567452216302,1139.933217492106,1154.8304,1197.2120163285433,1158.9855847403621,1126.0233,1149.5178269838996,1128.7796740602698,1192.0107,1190.4948481636688,1179.9195265572955
1131,1,1569886044,1,4,20,1734.0,990.0,1262.0,956.0,1253.201,1554.4277132309585,1204.6018077065125,1193.8837,1364.8405094418638,1197.282977149789,1236.7374,1351.1130822091088,1227.6197807732385,1222.7811,1288.181273473891,1233.5593785647827
