,data_partida,DataFimm,tempo_viagem,partidaTimeStamp,dia_semana,tipo_dia,hora_dia,turno_dia,qtdDiasAno,Precipitacao,Temperatura,Chuva,Calor,tempo_viagem_1,tempo_viagem_2,tempo_viagem_3,tempo_viagem_4,tempo_viagem_5
5,2019-04-30 12:18:00,2019-04-30 12:34:00,960,1556626680,2,1,12,2,120,0.0,24.9,0.0,1.0,840.0,840.0,1020.0,1260.0,1020.0
6,2019-04-30 12:46:00,2019-04-30 12:59:00,780,1556628360,2,1,12,2,120,0.0,25.6,0.0,2.0,960.0,840.0,840.0,1020.0,1260.0
7,2019-04-30 13:06:00,2019-04-30 13:23:00,1020,1556629560,2,1,13,2,120,0.0,25.6,0.0,2.0,780.0,960.0,840.0,840.0,1020.0
8,2019-04-30 13:56:00,2019-04-30 14:10:00,840,1556632560,2,1,13,2,120,0.0,26.1,0.0,2.0,1020.0,780.0,960.0,840.0,840.0
9,2019-04-30 14:56:00,2019-04-30 15:10:00,840,1556636160,2,1,14,2,120,0.0,25.8,0.0,2.0,840.0,1020.0,780.0,960.0,840.0
10,2019-04-30 16:08:00,2019-04-30 16:25:00,1020,1556640480,2,1,16,2,120,0.0,25.1,0.0,2.0,840.0,840.0,1020.0,780.0,960.0
11,2019-04-30 17:00:00,2019-04-30 17:16:00,960,1556643600,2,1,17,2,120,0.0,24.4,0.0,1.0,1020.0,840.0,840.0,1020.0,780.0
12,2019-04-30 17:23:00,2019-04-30 17:38:00,900,1556644980,2,1,17,2,120,0.0,24.4,0.0,1.0,960.0,1020.0,840.0,840.0,1020.0
13,2019-04-30 17:52:00,2019-04-30 18:06:00,840,1556646720,2,1,17,2,120,0.0,23.75,0.0,1.0,900.0,960.0,1020.0,840.0,840.0
14,2019-04-30 18:05:00,2019-04-30 18:19:00,840,1556647500,2,1,18,4,120,0.0,23.75,0.0,1.0,840.0,900.0,960.0,1020.0,840.0
15,2019-04-30 18:32:00,2019-04-30 18:46:00,840,1556649120,2,1,18,4,120,0.0,23.200000000000003,0.0,1.0,840.0,840.0,900.0,960.0,1020.0
16,2019-04-30 18:58:00,2019-04-30 19:09:00,660,1556650680,2,1,18,4,120,0.0,23.200000000000003,0.0,1.0,840.0,840.0,840.0,900.0,960.0
17,2019-04-30 19:33:00,2019-04-30 19:43:00,600,1556652780,2,1,19,4,120,0.0,23.1,0.0,1.0,660.0,840.0,840.0,840.0,900.0
18,2019-04-30 20:26:00,2019-04-30 20:37:00,660,1556655960,2,1,20,4,120,0.0,23.1,0.0,1.0,600.0,660.0,840.0,840.0,840.0
19,2019-04-30 20:59:00,2019-04-30 21:10:00,660,1556657940,2,1,20,4,120,0.0,22.85,0.0,1.0,660.0,600.0,660.0,840.0,840.0
