Precipitacao,Datetime,Temperatura,Descricao Chuva,Calor
0.0,2019-05-31 21:00:00,24.2,0,1
3.8,2019-05-31 22:00:00,21.299999999999997,2,1
3.0,2019-05-31 23:00:00,18.450000000000003,2,1
0.0,2019-06-01 00:00:00,18.7,0,1
0.0,2019-06-01 01:00:00,18.8,0,1
0.0,2019-06-01 02:00:00,19.049999999999997,0,1
0.0,2019-06-01 03:00:00,19.049999999999997,0,1
0.0,2019-06-01 04:00:00,19.049999999999997,0,1
0.0,2019-06-01 05:00:00,19.2,0,1
0.0,2019-06-01 06:00:00,19.049999999999997,0,1
0.0,2019-06-01 07:00:00,19.1,0,1
0.0,2019-06-01 08:00:00,19.450000000000003,0,1
0.0,2019-06-01 09:00:00,20.9,0,1
0.0,2019-06-01 10:00:00,22.65,0,1
0.0,2019-06-01 11:00:00,23.75,0,1
0.0,2019-06-01 12:00:00,23.85,0,1
0.0,2019-06-01 13:00:00,24.2,0,1
0.2,2019-06-01 14:00:00,24.0,1,1
0.0,2019-06-01 15:00:00,23.35,0,1
0.0,2019-06-01 16:00:00,23.15,0,1
0.0,2019-06-01 17:00:00,22.7,0,1
0.0,2019-06-01 18:00:00,21.85,0,1
0.0,2019-06-01 19:00:00,21.200000000000003,0,1
0.0,2019-06-01 20:00:00,20.9,0,1
0.0,2019-06-01 21:00:00,20.5,0,1
0.0,2019-06-01 22:00:00,20.0,0,1
0.0,2019-06-01 23:00:00,20.15,0,1
0.0,2019-06-02 00:00:00,19.7,0,1
0.0,2019-06-02 01:00:00,19.35,0,1
0.0,2019-06-02 02:00:00,19.3,0,1
0.0,2019-06-02 03:00:00,18.8,0,1
0.0,2019-06-02 04:00:00,18.549999999999997,0,1
0.0,2019-06-02 05:00:00,18.799999999999997,0,1
0.4,2019-06-02 06:00:00,18.65,1,1
7.0,2019-06-02 07:00:00,17.9,2,1
0.4,2019-06-02 08:00:00,17.8,1,1
2.6,2019-06-02 09:00:00,17.75,2,1
1.4,2019-06-02 10:00:00,17.950000000000003,1,1
0.0,2019-06-02 11:00:00,18.8,0,1
0.0,2019-06-02 12:00:00,19.65,0,1
0.0,2019-06-02 13:00:00,19.5,0,1
2.2,2019-06-02 14:00:00,18.55,1,1
0.6,2019-06-02 15:00:00,18.35,1,1
0.8,2019-06-02 16:00:00,18.35,1,1
0.0,2019-06-02 17:00:00,18.5,0,1
0.4,2019-06-02 18:00:00,18.35,1,1
0.0,2019-06-02 19:00:00,18.25,0,1
0.2,2019-06-02 20:00:00,17.950000000000003,1,1
0.0,2019-06-02 21:00:00,17.75,0,1
0.0,2019-06-02 22:00:00,17.25,0,1
0.0,2019-06-02 23:00:00,16.799999999999997,0,1
0.0,2019-06-03 00:00:00,16.700000000000003,0,1
0.0,2019-06-03 01:00:00,16.55,0,1
0.0,2019-06-03 02:00:00,16.55,0,1
0.0,2019-06-03 03:00:00,16.7,0,1
0.0,2019-06-03 04:00:00,16.85,0,1
0.0,2019-06-03 05:00:00,17.1,0,1
2.8,2019-06-03 06:00:00,16.95,2,1
4.2,2019-06-03 07:00:00,16.6,2,1
1.6,2019-06-03 08:00:00,16.4,1,1
2.0,2019-06-03 09:00:00,16.7,1,1
2.0,2019-06-03 10:00:00,16.9,1,1
1.0,2019-06-03 11:00:00,17.25,1,1
0.0,2019-06-03 12:00:00,18.35,0,1
0.0,2019-06-03 13:00:00,19.6,0,1
0.0,2019-06-03 14:00:00,20.0,0,1
0.0,2019-06-03 15:00:00,20.549999999999997,0,1
0.0,2019-06-03 16:00:00,19.7,0,1
0.0,2019-06-03 17:00:00,19.55,0,1
0.0,2019-06-03 18:00:00,18.35,0,1
0.0,2019-06-03 19:00:00,17.549999999999997,0,1
0.0,2019-06-03 20:00:00,17.1,0,1
0.0,2019-06-03 21:00:00,16.75,0,1
0.0,2019-06-03 22:00:00,16.3,0,1
0.0,2019-06-03 23:00:00,16.05,0,1
0.0,2019-06-04 00:00:00,15.700000000000001,0,0
0.0,2019-06-04 01:00:00,15.55,0,0
0.0,2019-06-04 02:00:00,15.85,0,0
0.6,2019-06-04 03:00:00,15.55,1,0
1.0,2019-06-04 04:00:00,14.45,1,0
0.2,2019-06-04 05:00:00,13.4,1,0
0.0,2019-06-04 06:00:00,13.0,0,0
