data_partida,tempo_viagem,partidaTimeStamp,dia_semana,tipo_dia,hora_dia,turno_dia,qtdDiasAno
2019-09-30 23:17:00,1920,1569885420,1,1,23,4,273
2019-09-30 22:59:00,1320,1569884340,1,1,22,4,273
2019-09-30 22:55:00,2040,1569884100,1,1,22,4,273
2019-09-30 22:41:00,2160,1569883260,1,1,22,4,273
2019-09-30 22:29:00,1980,1569882540,1,1,22,4,273
2019-09-30 22:17:00,2280,1569881820,1,1,22,4,273
2019-09-30 22:12:00,2160,1569881520,1,1,22,4,273
2019-09-30 22:07:00,3120,1569881220,1,1,22,4,273
2019-09-30 22:00:00,2460,1569880800,1,1,22,4,273
2019-09-30 21:56:00,1920,1569880560,1,1,21,4,273
2019-09-30 21:53:00,2160,1569880380,1,1,21,4,273
2019-09-30 21:51:00,2040,1569880260,1,1,21,4,273
2019-09-30 21:38:00,1920,1569879480,1,1,21,4,273
2019-09-30 21:26:00,2760,1569878760,1,1,21,4,273
2019-09-30 21:20:00,2160,1569878400,1,1,21,4,273
2019-09-30 21:16:00,2220,1569878160,1,1,21,4,273
2019-09-30 21:12:00,2340,1569877920,1,1,21,4,273
2019-09-30 21:03:00,1980,1569877380,1,1,21,4,273
2019-09-30 21:02:00,2160,1569877320,1,1,21,4,273
2019-09-30 20:45:00,2460,1569876300,1,1,20,4,273
2019-09-30 20:45:00,2100,1569876300,1,1,20,4,273
2019-09-30 20:34:00,2100,1569875640,1,1,20,4,273
2019-09-30 20:20:00,2580,1569874800,1,1,20,4,273
2019-09-30 20:13:00,3720,1569874380,1,1,20,4,273
2019-09-30 20:05:00,1740,1569873900,1,1,20,4,273
2019-09-30 20:05:00,2760,1569873900,1,1,20,4,273
2019-09-30 20:04:00,2160,1569873840,1,1,20,4,273
2019-09-30 19:58:00,2280,1569873480,1,1,19,4,273
2019-09-30 19:47:00,2460,1569872820,1,1,19,4,273
2019-09-30 19:42:00,2400,1569872520,1,1,19,4,273
2019-09-30 19:38:00,2040,1569872280,1,1,19,4,273
2019-09-30 19:37:00,2160,1569872220,1,1,19,4,273
2019-09-30 19:25:00,2400,1569871500,1,1,19,4,273
2019-09-30 19:22:00,2040,1569871320,1,1,19,4,273
2019-09-30 19:14:00,2520,1569870840,1,1,19,4,273
2019-09-30 19:14:00,0,1569870840,1,1,19,4,273
2019-09-30 19:09:00,2400,1569870540,1,1,19,4,273
2019-09-30 19:08:00,2640,1569870480,1,1,19,4,273
2019-09-30 18:55:00,2520,1569869700,1,1,18,4,273
2019-09-30 18:53:00,2400,1569869580,1,1,18,4,273
2019-09-30 18:52:00,2640,1569869520,1,1,18,4,273
2019-09-30 18:46:00,2220,1569869160,1,1,18,4,273
2019-09-30 18:41:00,2460,1569868860,1,1,18,4,273
2019-09-30 18:34:00,2340,1569868440,1,1,18,4,273
2019-09-30 18:29:00,2640,1569868140,1,1,18,4,273
2019-09-30 18:27:00,2580,1569868020,1,1,18,4,273
2019-09-30 18:21:00,2700,1569867660,1,1,18,4,273
2019-09-30 18:19:00,2640,1569867540,1,1,18,4,273
2019-09-30 18:14:00,3300,1569867240,1,1,18,4,273
2019-09-30 18:11:00,2460,1569867060,1,1,18,4,273
2019-09-30 18:08:00,2700,1569866880,1,1,18,4,273
2019-09-30 18:07:00,2400,1569866820,1,1,18,4,273
2019-09-30 18:02:00,2340,1569866520,1,1,18,4,273
2019-09-30 18:00:00,2940,1569866400,1,1,18,4,273
2019-09-30 17:56:00,2520,1569866160,1,1,17,2,273
2019-09-30 17:54:00,2400,1569866040,1,1,17,2,273
2019-09-30 17:44:00,2580,1569865440,1,1,17,2,273
2019-09-30 17:43:00,2760,1569865380,1,1,17,2,273
2019-09-30 17:40:00,2400,1569865200,1,1,17,2,273
2019-09-30 17:34:00,2220,1569864840,1,1,17,2,273
2019-09-30 17:29:00,2340,1569864540,1,1,17,2,273
2019-09-30 17:25:00,3360,1569864300,1,1,17,2,273
2019-09-30 17:24:00,2760,1569864240,1,1,17,2,273
2019-09-30 17:21:00,2340,1569864060,1,1,17,2,273
2019-09-30 17:19:00,1980,1569863940,1,1,17,2,273
2019-09-30 17:11:00,3780,1569863460,1,1,17,2,273
2019-09-30 17:06:00,2220,1569863160,1,1,17,2,273
2019-09-30 17:00:00,3300,1569862800,1,1,17,2,273
