,DataIni,HoraIni,DataFim,HoraFim,Sentido,Linha,NoVeículo,DuraçãoViagem,TotalGiros,KmPerc,Segundos
85289,1556582400000,05:59:00,1556582400000,06:16:00,Ida,270,1461,00:17:00,64,5.04,1020.0
85290,1556582400000,06:31:00,1556582400000,06:52:00,Ida,270,11639,00:21:00,58,5.04,1260.0
85292,1556582400000,07:00:00,1556582400000,07:17:00,Ida,270,11639,00:17:00,43,5.04,1020.0
85297,1556582400000,09:26:00,1556582400000,09:40:00,Ida,270,1493,00:14:00,27,5.04,840.0
85298,1556582400000,10:54:00,1556582400000,11:08:00,Ida,270,1493,00:14:00,21,5.04,840.0
85301,1556582400000,12:18:00,1556582400000,12:34:00,Ida,270,1529,00:16:00,42,5.04,960.0
85302,1556582400000,12:46:00,1556582400000,12:59:00,Ida,270,1493,00:13:00,32,5.04,780.0
85303,1556582400000,13:06:00,1556582400000,13:23:00,Ida,270,1529,00:17:00,43,5.04,1020.0
85304,1556582400000,13:56:00,1556582400000,14:10:00,Ida,270,1469,00:14:00,24,5.04,840.0
85305,1556582400000,14:56:00,1556582400000,15:10:00,Ida,270,1493,00:14:00,22,5.04,840.0
85307,1556582400000,16:08:00,1556582400000,16:25:00,Ida,270,11623,00:17:00,42,5.04,1020.0
85308,1556582400000,17:00:00,1556582400000,17:16:00,Ida,270,1465,00:16:00,59,5.04,960.0
85309,1556582400000,17:23:00,1556582400000,17:38:00,Ida,270,1529,00:15:00,17,5.04,900.0
85310,1556582400000,17:52:00,1556582400000,18:06:00,Ida,270,11599,00:14:00,15,5.04,840.0
85311,1556582400000,18:05:00,1556582400000,18:19:00,Ida,270,1517,00:14:00,12,5.04,840.0
85312,1556582400000,18:32:00,1556582400000,18:46:00,Ida,270,11571,00:14:00,13,5.04,840.0
85313,1556582400000,18:58:00,1556582400000,19:09:00,Ida,270,1491,00:11:00,4,5.04,660.0
85314,1556582400000,19:33:00,1556582400000,19:43:00,Ida,270,1491,00:10:00,6,5.04,600.0
85316,1556582400000,20:26:00,1556582400000,20:37:00,Ida,270,1493,00:11:00,4,5.04,660.0
85317,1556582400000,20:59:00,1556582400000,21:10:00,Ida,270,1565,00:11:00,4,5.04,660.0
85318,1556582400000,21:55:00,1556582400000,22:05:00,Ida,270,11569,00:10:00,7,5.04,600.0
85319,1556582400000,22:46:00,1556582400000,22:57:00,Ida,270,1529,00:11:00,0,5.04,660.0
85320,1556582400000,23:14:00,1556582400000,23:25:00,Ida,270,1495,00:11:00,0,5.04,660.0
85321,1556582400000,23:46:00,1556582400000,23:57:00,Ida,270,1495,00:11:00,1,5.04,660.0
85323,1556582400000,11:51:00,1556582400000,12:09:00,Ida,270,1485,00:18:00,56,5.04,1080.0
85329,1556496000000,07:54:00,1556496000000,08:11:00,Ida,270,1529,00:17:00,27,5.04,1020.0
85330,1556496000000,08:34:00,1556496000000,08:52:00,Ida,270,1529,00:18:00,44,5.04,1080.0
85331,1556496000000,09:26:00,1556496000000,09:39:00,Ida,270,1493,00:13:00,16,5.04,780.0
85333,1556496000000,11:39:00,1556496000000,11:56:00,Ida,270,1529,00:17:00,29,5.04,1020.0
85335,1556496000000,12:01:00,1556496000000,12:16:00,Ida,270,1461,00:15:00,11,5.04,900.0
85337,1556496000000,12:46:00,1556496000000,13:01:00,Ida,270,1493,00:15:00,33,5.04,900.0
85339,1556496000000,13:54:00,1556496000000,14:11:00,Ida,270,11639,00:17:00,35,5.04,1020.0
85340,1556496000000,14:57:00,1556496000000,15:13:00,Ida,270,1493,00:16:00,22,5.04,960.0
85341,1556496000000,16:08:00,1556496000000,16:23:00,Ida,270,11623,00:15:00,29,5.04,900.0
85344,1556496000000,17:53:00,1556496000000,18:07:00,Ida,270,11599,00:14:00,17,5.04,840.0
85346,1556496000000,18:35:00,1556496000000,18:47:00,Ida,270,11571,00:12:00,6,5.04,720.0
85347,1556496000000,18:59:00,1556496000000,19:10:00,Ida,270,1491,00:11:00,2,5.04,660.0
85348,1556496000000,19:30:00,1556496000000,19:41:00,Ida,270,1491,00:11:00,3,5.04,660.0
85349,1556496000000,19:56:00,1556496000000,20:08:00,Ida,270,1493,00:12:00,2,5.04,720.0
85350,1556496000000,20:25:00,1556496000000,20:37:00,Ida,270,1493,00:12:00,7,5.04,720.0
85351,1556496000000,20:59:00,1556496000000,21:08:00,Ida,270,11575,00:09:00,2,5.04,540.0
85353,1556496000000,22:43:00,1556496000000,22:54:00,Ida,270,1529,00:11:00,1,5.04,660.0
85355,1556496000000,23:44:00,1556496000000,23:54:00,Ida,270,11623,00:10:00,0,5.04,600.0
85357,1556496000000,07:27:00,1556496000000,07:45:00,Ida,270,1501,00:18:00,56,5.04,1080.0
85360,1556409600000,06:31:00,1556409600000,06:41:00,Ida,270,11643,00:10:00,3,5.04,600.0
85361,1556409600000,07:47:00,1556409600000,07:59:00,Ida,270,11643,00:12:00,9,5.04,720.0
85362,1556409600000,09:12:00,1556409600000,09:25:00,Ida,270,11657,00:13:00,5,5.04,780.0
85364,1556409600000,12:13:00,1556409600000,12:25:00,Ida,270,11637,00:12:00,9,5.04,720.0
85366,1556409600000,15:57:00,1556409600000,16:12:00,Ida,270,11679,00:15:00,20,5.04,900.0
85367,1556409600000,17:33:00,1556409600000,17:47:00,Ida,270,11635,00:14:00,22,5.04,840.0
85368,1556409600000,19:02:00,1556409600000,19:16:00,Ida,270,11677,00:14:00,9,5.04,840.0
85369,1556409600000,20:44:00,1556409600000,21:00:00,Ida,270,11671,00:16:00,4,5.04,960.0
85372,1556323200000,05:29:00,1556323200000,05:41:00,Ida,270,11571,00:12:00,10,5.04,720.0
85373,1556323200000,06:00:00,1556323200000,06:15:00,Ida,270,11645,00:15:00,18,5.04,900.0
85374,1556323200000,06:37:00,1556323200000,06:54:00,Ida,270,1529,00:17:00,22,5.04,1020.0
85375,1556323200000,07:21:00,1556323200000,07:35:00,Ida,270,11645,00:14:00,23,5.04,840.0
85376,1556323200000,08:04:00,1556323200000,08:18:00,Ida,270,11645,00:14:00,28,5.04,840.0
85377,1556323200000,08:37:00,1556323200000,08:54:00,Ida,270,11645,00:17:00,28,5.04,1020.0
85378,1556323200000,10:03:00,1556323200000,10:18:00,Ida,270,11641,00:15:00,20,5.04,900.0
85379,1556323200000,11:22:00,1556323200000,11:34:00,Ida,270,11657,00:12:00,12,5.04,720.0
85380,1556323200000,12:37:00,1556323200000,12:50:00,Ida,270,11667,00:13:00,14,5.04,780.0
85381,1556323200000,13:21:00,1556323200000,13:35:00,Ida,270,11663,00:14:00,20,5.04,840.0
85382,1556323200000,15:06:00,1556323200000,15:20:00,Ida,270,1541,00:14:00,21,5.04,840.0
85383,1556323200000,15:47:00,1556323200000,15:59:00,Ida,270,11643,00:12:00,9,5.04,720.0
85384,1556323200000,16:48:00,1556323200000,17:02:00,Ida,270,11671,00:14:00,19,5.04,840.0
85385,1556323200000,18:34:00,1556323200000,18:47:00,Ida,270,11575,00:13:00,7,5.04,780.0
85387,1556323200000,20:49:00,1556323200000,21:01:00,Ida,270,1529,00:12:00,8,5.04,720.0
85388,1556323200000,22:57:00,1556323200000,23:08:00,Ida,270,11599,00:11:00,1,5.04,660.0
85389,1556236800000,05:30:00,1556236800000,05:44:00,Ida,270,1469,00:14:00,44,5.04,840.0
85390,1556236800000,06:00:00,1556236800000,06:18:00,Ida,270,1461,00:18:00,68,5.04,1080.0
85391,1556236800000,06:30:00,1556236800000,06:48:00,Ida,270,11639,00:18:00,64,5.04,1080.0
85392,1556236800000,06:47:00,1556236800000,07:04:00,Ida,270,1491,00:17:00,60,5.04,1020.0
85393,1556236800000,07:01:00,1556236800000,07:18:00,Ida,270,11639,00:17:00,42,5.04,1020.0
85396,1556236800000,08:01:00,1556236800000,08:13:00,Ida,270,1501,00:12:00,4,5.04,720.0
85398,1556236800000,09:26:00,1556236800000,09:38:00,Ida,270,1493,00:12:00,14,5.04,720.0
85400,1556236800000,11:40:00,1556236800000,11:56:00,Ida,270,1529,00:16:00,27,5.04,960.0
85402,1556236800000,12:01:00,1556236800000,12:15:00,Ida,270,1461,00:14:00,8,5.04,840.0
85403,1556236800000,12:17:00,1556236800000,12:33:00,Ida,270,1529,00:16:00,35,5.04,960.0
85406,1556236800000,13:55:00,1556236800000,14:11:00,Ida,270,11639,00:16:00,24,5.04,960.0
85407,1556236800000,14:56:00,1556236800000,15:09:00,Ida,270,1493,00:13:00,22,5.04,780.0
85408,1556236800000,16:09:00,1556236800000,16:24:00,Ida,270,1475,00:15:00,21,5.04,900.0
85409,1556236800000,16:59:00,1556236800000,17:17:00,Ida,270,11667,00:18:00,58,5.04,1080.0
85410,1556236800000,17:23:00,1556236800000,17:38:00,Ida,270,1529,00:15:00,17,5.04,900.0
85412,1556236800000,18:04:00,1556236800000,18:18:00,Ida,270,11627,00:14:00,10,5.04,840.0
