Teste,Rota,Modelo,Métrica,Valor
"0 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, turno_dia, qtdDiasAno, partidaTimeStamp]",SP - 33642,XGB,RRSE,0.7047919088117734
"0 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, turno_dia, qtdDiasAno, partidaTimeStamp]",SP - 33642,XGB,MAPE,0.10886491164544922
"0 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, turno_dia, qtdDiasAno, partidaTimeStamp]",SP - 33642,XGB,Tempo de treino,1.787969
"0 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, turno_dia, qtdDiasAno, partidaTimeStamp]",SP - 33642,XGB,Tempo de predição,0.4969
"0 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, turno_dia, qtdDiasAno, partidaTimeStamp]",SP - 33642,RF,RRSE,0.7183301277410776
"0 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, turno_dia, qtdDiasAno, partidaTimeStamp]",SP - 33642,RF,MAPE,0.10769285824713647
"0 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, turno_dia, qtdDiasAno, partidaTimeStamp]",SP - 33642,RF,Tempo de treino,1.411451
"0 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, turno_dia, qtdDiasAno, partidaTimeStamp]",SP - 33642,RF,Tempo de predição,0.93
"0 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, turno_dia, qtdDiasAno, partidaTimeStamp]",SP - 33642,LR,RRSE,0.939191795840855
"0 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, turno_dia, qtdDiasAno, partidaTimeStamp]",SP - 33642,LR,MAPE,0.15361101531688978
"0 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, turno_dia, qtdDiasAno, partidaTimeStamp]",SP - 33642,LR,Tempo de treino,0.3028
"0 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, turno_dia, qtdDiasAno, partidaTimeStamp]",SP - 33642,LR,Tempo de predição,0.1
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia]",SP - 33642,XGB,RRSE,0.6875901929362729
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia]",SP - 33642,XGB,MAPE,0.10057709585946913
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia]",SP - 33642,XGB,Tempo de treino,0.991998
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia]",SP - 33642,XGB,Tempo de predição,0.3967
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia]",SP - 33642,RF,RRSE,0.6839141904710287
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia]",SP - 33642,RF,MAPE,0.1015024285470307
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia]",SP - 33642,RF,Tempo de treino,0.827002
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia]",SP - 33642,RF,Tempo de predição,0.112031
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia]",SP - 33642,LR,RRSE,0.9423788698656704
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia]",SP - 33642,LR,MAPE,0.15254008150822873
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia]",SP - 33642,LR,Tempo de treino,0.2032
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia]",SP - 33642,LR,Tempo de predição,0.999
"1 Teste de Colunas - [dia_semana, tipo_dia, turno_dia]",SP - 33642,XGB,RRSE,0.8527978301278971
"1 Teste de Colunas - [dia_semana, tipo_dia, turno_dia]",SP - 33642,XGB,MAPE,0.13388200556510552
"1 Teste de Colunas - [dia_semana, tipo_dia, turno_dia]",SP - 33642,XGB,Tempo de treino,0.984968
"1 Teste de Colunas - [dia_semana, tipo_dia, turno_dia]",SP - 33642,XGB,Tempo de predição,0.4969
"1 Teste de Colunas - [dia_semana, tipo_dia, turno_dia]",SP - 33642,RF,RRSE,0.8490262070429909
"1 Teste de Colunas - [dia_semana, tipo_dia, turno_dia]",SP - 33642,RF,MAPE,0.1344269021690521
"1 Teste de Colunas - [dia_semana, tipo_dia, turno_dia]",SP - 33642,RF,Tempo de treino,0.641037
"1 Teste de Colunas - [dia_semana, tipo_dia, turno_dia]",SP - 33642,RF,Tempo de predição,0.79
"1 Teste de Colunas - [dia_semana, tipo_dia, turno_dia]",SP - 33642,LR,RRSE,0.9473577973523538
"1 Teste de Colunas - [dia_semana, tipo_dia, turno_dia]",SP - 33642,LR,MAPE,0.1545908776106657
"1 Teste de Colunas - [dia_semana, tipo_dia, turno_dia]",SP - 33642,LR,Tempo de treino,0.1994
"1 Teste de Colunas - [dia_semana, tipo_dia, turno_dia]",SP - 33642,LR,Tempo de predição,0.1002
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, qtdDiasAno]",SP - 33642,XGB,RRSE,0.6975639505030611
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, qtdDiasAno]",SP - 33642,XGB,MAPE,0.10358135116549391
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, qtdDiasAno]",SP - 33642,XGB,Tempo de treino,1.2969
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, qtdDiasAno]",SP - 33642,XGB,Tempo de predição,0.497
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, qtdDiasAno]",SP - 33642,RF,RRSE,0.7013603153258989
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, qtdDiasAno]",SP - 33642,RF,MAPE,0.10332362345187077
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, qtdDiasAno]",SP - 33642,RF,Tempo de treino,1.19103
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, qtdDiasAno]",SP - 33642,RF,Tempo de predição,0.98
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, qtdDiasAno]",SP - 33642,LR,RRSE,0.9394678270916322
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, qtdDiasAno]",SP - 33642,LR,MAPE,0.1536069631110091
