Sentido,Linha,DuraçãoViagem,TotalGiros,KmPerc,Ini,Fim,dia_semana,hora_dia,dia_ano,mes_ano,turno_dia,TotalGirosMean,DuraçãoViagemMean
0,1120,3420,21,31.218,2018-11-06 06:10:00,2018-11-06 07:07:00,2,6,310,11,2,22.0,3750.0
0,1120,4560,26,31.218,2018-11-06 06:44:00,2018-11-06 08:00:00,2,6,310,11,2,22.0,3750.0
1,1120,3720,6,30.64,2018-11-06 07:08:00,2018-11-06 08:10:00,2,7,310,11,2,8.0,4140.0
0,1120,4320,30,31.218,2018-11-06 08:10:00,2018-11-06 09:22:00,2,8,310,11,2,11.0,3300.0
1,1120,3060,4,30.64,2018-11-06 08:14:00,2018-11-06 09:05:00,2,8,310,11,2,11.0,3300.0
0,1120,3960,18,31.218,2018-11-06 09:05:00,2018-11-06 10:11:00,2,9,310,11,2,24.0,4440.0
1,1120,3660,16,30.64,2018-11-06 10:20:00,2018-11-06 11:21:00,2,10,310,11,2,5.0,2700.0
0,1120,4260,22,31.218,2018-11-06 11:21:00,2018-11-06 12:32:00,2,11,310,11,2,11.0,3750.0
1,1120,4080,17,30.64,2018-11-06 11:26:00,2018-11-06 12:34:00,2,11,310,11,2,11.0,3750.0
0,1120,4620,10,31.218,2018-11-06 12:34:00,2018-11-06 13:51:00,2,12,310,11,2,15.0,3810.0
1,1120,3660,25,30.64,2018-11-06 12:37:00,2018-11-06 13:38:00,2,12,310,11,2,15.0,3810.0
1,1120,3480,16,30.64,2018-11-06 13:37:00,2018-11-06 14:35:00,2,13,310,11,2,15.5,3960.0
0,1120,4500,12,31.218,2018-11-06 13:38:00,2018-11-06 14:53:00,2,13,310,11,2,15.5,3960.0
0,1120,4320,13,31.218,2018-11-06 14:35:00,2018-11-06 15:47:00,2,14,310,11,2,10.0,4080.0
1,1120,4380,26,30.64,2018-11-06 15:45:00,2018-11-06 16:58:00,2,15,310,11,2,23.0,3720.0
1,1120,4740,27,30.64,2018-11-06 16:52:00,2018-11-06 18:11:00,2,16,310,11,2,20.0,4140.0
0,1120,4560,19,31.218,2018-11-06 16:58:00,2018-11-06 18:14:00,2,16,310,11,2,20.0,4140.0
0,1120,3900,5,31.218,2018-11-06 18:11:00,2018-11-06 19:16:00,2,18,310,11,4,19.0,4140.0
1,1120,4200,16,30.64,2018-11-06 18:34:00,2018-11-06 19:44:00,2,18,310,11,4,19.0,4140.0
1,1120,3840,27,30.64,2018-11-06 19:35:00,2018-11-06 20:39:00,2,19,310,11,4,21.0,3780.0
0,1120,3480,20,31.218,2018-11-07 06:10:00,2018-11-07 07:08:00,3,6,311,11,2,23.5,3990.0
0,1120,4620,33,31.218,2018-11-07 06:43:00,2018-11-07 08:00:00,3,6,311,11,2,23.5,3990.0
1,1120,3720,2,30.64,2018-11-07 07:07:00,2018-11-07 08:09:00,3,7,311,11,2,6.0,3720.0
0,1120,5100,29,31.218,2018-11-07 08:09:00,2018-11-07 09:34:00,3,8,311,11,2,17.0,3690.0
1,1120,3240,7,30.64,2018-11-07 08:14:00,2018-11-07 09:08:00,3,8,311,11,2,17.0,3690.0
0,1120,4500,17,31.218,2018-11-07 09:08:00,2018-11-07 10:23:00,3,9,311,11,2,18.0,3960.0
1,1120,3360,13,30.64,2018-11-07 10:22:00,2018-11-07 11:18:00,3,10,311,11,2,16.0,3660.0
0,1120,4560,33,31.218,2018-11-07 11:19:00,2018-11-07 12:35:00,3,11,311,11,2,19.5,4170.0
1,1120,4260,19,30.64,2018-11-07 11:20:00,2018-11-07 12:31:00,3,11,311,11,2,19.5,4170.0
0,1120,4320,13,31.218,2018-11-07 12:31:00,2018-11-07 13:43:00,3,12,311,11,2,17.5,4140.0
1,1120,3720,10,30.64,2018-11-07 12:36:00,2018-11-07 13:38:00,3,12,311,11,2,17.5,4140.0
1,1120,3660,16,30.64,2018-11-07 13:36:00,2018-11-07 14:37:00,3,13,311,11,2,14.0,3990.0
0,1120,4620,12,31.218,2018-11-07 13:38:00,2018-11-07 14:55:00,3,13,311,11,2,14.0,3990.0
0,1120,3780,6,31.218,2018-11-07 14:37:00,2018-11-07 15:40:00,3,14,311,11,2,13.0,4320.0
1,1120,4200,39,30.64,2018-11-07 15:52:00,2018-11-07 17:02:00,3,15,311,11,2,26.0,4380.0
1,1120,4440,30,30.64,2018-11-07 16:50:00,2018-11-07 18:04:00,3,16,311,11,2,23.0,4650.0
0,1120,3660,7,31.218,2018-11-07 18:04:00,2018-11-07 19:05:00,3,18,311,11,4,10.5,4050.0
1,1120,4020,25,30.64,2018-11-07 18:24:00,2018-11-07 19:31:00,3,18,311,11,4,10.5,4050.0
1,1120,4500,17,30.64,2018-11-07 19:29:00,2018-11-07 20:44:00,3,19,311,11,4,27.0,3840.0
0,1120,3420,21,31.218,2018-11-08 06:10:00,2018-11-08 07:07:00,4,6,312,11,2,26.5,4050.0
0,1120,4680,33,31.218,2018-11-08 06:44:00,2018-11-08 08:02:00,4,6,312,11,2,26.5,4050.0
1,1120,3660,10,30.64,2018-11-08 07:10:00,2018-11-08 08:11:00,4,7,312,11,2,2.0,3720.0
0,1120,4440,21,31.218,2018-11-08 08:11:00,2018-11-08 09:25:00,4,8,312,11,2,18.0,4170.0
